UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,Park,Rank,2016_Visit
OLYM,LEGACY: contact allen_mccoy@nps.gov for additional information,Olympic National Park,2015/04/22,WA,PW,1530459,National Park,Legacy,,Olympic,Olympic NP,7,3390221
MEVE,Lands - http://landsnet.nps.gov/tractsnet/documents/MEVE/Metadata/meve_metadata.xml,Mesa Verde National Park,2009/08/04,CO,IM,179042,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1048549#Mesa Verde National Park,Mesa Verde,Mesa Verde NP,34,583527
GRBA,Lands - http://landsnet.nps.gov/tractsnet/documents/GRBA/Metadata/grba_metadata.xml,Great Basin National Park,2009/09/10,NV,PW,862430,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1048548#Great Basin National Park,Great Basin,Great Basin NP,49,144846
GAAR,Lands - http://landsnet.nps.gov/tractsnet/documents/GAAR/Metadata/GAAR_metadata.xml,Gates of the Arctic National Park,2016/09/21,AK,AK,1416040,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2225693#Gates of the Arctic National Park and Preserve,Gates of the Arctic,Gates of the Arctic NP & PRES,59,10047
ACAD,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Acadia National Park,2013/12/18,ME,NE,578853,National Park,Legacy,,,Acadia NP,8,3303393
KICA,Lands - http://landsnet.nps.gov/tractsnet/documents/KICA/Metadata/kica_metadata.xml,Kings Canyon National Park,2011/10/17,CA,PW,255948,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2180625#Kings Canyon National Park,Kings Canyon,Kings Canyon NP,31,607479
BLCA,Lands - http://landsnet.nps.gov/tractsnet/documents/BLCA/Metadata/blca_metadata.xml,Black Canyon of the Gunnison National Park,2017/05/12,CO,IM,203271,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1047909#Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison,Black Canyon of the Gunnison NP,46,238018
GLBA,Lands - http://landsnet.nps.gov/tractsnet/documents/GLBA/Metadata/GLBA_metadata.xml,Glacier Bay National Park,2016/09/21,AK,AK,1416041,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2225695#Glacier Bay National Park and Preserve,Glacier Bay,Glacier Bay NP & PRES,37,520171
PEFO,Lands - http://landsnet.nps.gov/tractsnet/documents/PEFO/METADATA/pefo_metadata.xml,Petrified Forest National Park,2017/05/10,AZ,IM,23864,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2209625#Petrified Forest National Park,Petrified Forest,Petrified Forest NP,29,643274
KATM,Lands - http://landsnet.nps.gov/tractsnet/documents/KATM/Metadata/KATM_metadata.xml,Katmai National Park,2016/09/21,AK,AK,1416045,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2225697#Katmai National Park and Preserve,Katmai,Katmai NP & PRES,53,37818
THRO,Lands - http://landsnet.nps.gov/tractsnet/documents/THRO/METADATA/thro_metadata.xml,Theodore Roosevelt National Park,2017/04/27,ND,MW,1033824,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2196728#Theodore Roosevelt National Park,Theodore Roosevelt,Theodore Roosevelt NP,28,753880
KEFJ,Lands - http://landsnet.nps.gov/tractsnet/documents/KEFJ/Metadata/KEFJ_metadata.xml,Kenai Fjords National Park,2016/09/21,AK,AK,1419645,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2225698#Kenai Fjords National Park,Kenai Fjords,Kenai Fjords NP,44,346534
CUVA,Lands - http://landsnet.nps.gov/tractsnet/documents/CUVA/Metadata/CUVA_metadata.xml,Cuyahoga Valley National Park,2017/04/11,OH,MW,1066328,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2225690#Cuvahoga Valley National Park,Cuyahoga Valley,Cuyahoga Valley NP,12,2423390
